layer_id,bitpos,count
Conv2d[0]|Conv2d[1]|Conv2d[2],0,35
Conv2d[0]|Conv2d[1]|Conv2d[2],1,28
Conv2d[0]|Conv2d[1]|Conv2d[2],2,26
Conv2d[0]|Conv2d[1]|Conv2d[2],3,19
Conv2d[0]|Conv2d[1]|Conv2d[2],4,23
Conv2d[0]|Conv2d[1]|Conv2d[2],5,26
Conv2d[0]|Conv2d[1]|Conv2d[2],6,20
Conv2d[0]|Conv2d[1]|Conv2d[2],7,25
Conv2d[0]|Conv2d[1]|Conv2d[2],8,27
Conv2d[0]|Conv2d[1]|Conv2d[2],9,28
Conv2d[0]|Conv2d[1]|Conv2d[2],10,28
Conv2d[0]|Conv2d[1]|Conv2d[2],11,18
Conv2d[0]|Conv2d[1]|Conv2d[2],12,28
Conv2d[0]|Conv2d[1]|Conv2d[2],13,26
Conv2d[0]|Conv2d[1]|Conv2d[2],14,33
Conv2d[0]|Conv2d[1]|Conv2d[2],15,32
Conv2d[0]|Conv2d[1]|Conv2d[2],16,28
Conv2d[0]|Conv2d[1]|Conv2d[2],17,27
Conv2d[0]|Conv2d[1]|Conv2d[2],18,19
Conv2d[0]|Conv2d[1]|Conv2d[2],19,22
Conv2d[0]|Conv2d[1]|Conv2d[2],20,23
Conv2d[0]|Conv2d[1]|Conv2d[2],21,19
Conv2d[0]|Conv2d[1]|Conv2d[2],22,28
Conv2d[0]|Conv2d[1]|Conv2d[2],23,62
Conv2d[0]|Conv2d[1]|Conv2d[2],24,113
Conv2d[0]|Conv2d[1]|Conv2d[2],25,115
Conv2d[0]|Conv2d[1]|Conv2d[2],26,86
Conv2d[0]|Conv2d[1]|Conv2d[2],27,81
Conv2d[0]|Conv2d[1]|Conv2d[2],28,88
Conv2d[0]|Conv2d[1]|Conv2d[2],29,123
Conv2d[0]|Conv2d[1]|Conv2d[2],30,102
Conv2d[0]|Conv2d[1]|Conv2d[2],31,45
Linear[0]|Linear[1],23,23
Linear[0]|Linear[1],24,24
Linear[0]|Linear[1],25,41
Linear[0]|Linear[1],26,22
Linear[0]|Linear[1],27,30
Linear[0]|Linear[1],28,32
Linear[0]|Linear[1],29,40
Linear[0]|Linear[1],30,20
Linear[1],0,32
Linear[1],1,41
Linear[1],2,34
Linear[1],3,40
Linear[1],4,36
Linear[1],5,22
Linear[1],6,42
Linear[1],7,41
Linear[1],8,43
Linear[1],9,24
Linear[1],10,37
Linear[1],11,33
Linear[1],12,27
Linear[1],13,31
Linear[1],14,32
Linear[1],15,34
Linear[1],16,47
Linear[1],17,48
Linear[1],18,42
Linear[1],19,50
Linear[1],20,28
Linear[1],21,38
Linear[1],22,52
Linear[1],23,81
Linear[1],24,88
Linear[1],25,85
Linear[1],26,100
Linear[1],27,110
Linear[1],28,81
Linear[1],29,87
Linear[1],30,81
Linear[1],31,77
