layer_id,p,trials,wrong,degraded,wrong_rate,impact_rate,avg_margin_drop_impacted
Conv2d[0]|Conv2d[1]|Conv2d[2],0.01,785,0,0,0.0,0.0,0.0
Conv2d[0]|Conv2d[1]|Conv2d[2],0.05,628,3,0,0.004777070063694267,0.004777070063694267,0.0
Conv2d[0]|Conv2d[1]|Conv2d[2],0.1,785,17,0,0.02165605095541401,0.02165605095541401,0.0
Conv2d[0]|Conv2d[1]|Conv2d[2],0.3,785,43,0,0.05477707006369427,0.05477707006369427,0.0
Conv2d[0]|Conv2d[1]|Conv2d[2],1.0,785,165,0,0.21019108280254778,0.21019108280254778,0.0
Linear[0]|Linear[1],0.01,157,0,0,0.0,0.0,0.0
Linear[0]|Linear[1],0.05,157,6,0,0.03821656050955414,0.03821656050955414,0.0
Linear[0]|Linear[1],0.1,157,14,0,0.08917197452229299,0.08917197452229299,0.0
Linear[0]|Linear[1],0.3,157,39,0,0.2484076433121019,0.2484076433121019,0.0
Linear[0]|Linear[1],1.0,157,106,0,0.6751592356687898,0.6751592356687898,0.0
Linear[1],1e-09,100,0,0,0.0,0.0,0.0
Linear[1],1e-07,100,0,0,0.0,0.0,0.0
Linear[1],1e-06,200,0,0,0.0,0.0,0.0
Linear[1],1e-05,100,0,0,0.0,0.0,0.0
Linear[1],0.0001,200,0,0,0.0,0.0,0.0
Linear[1],0.001,100,0,0,0.0,0.0,0.0
Linear[1],0.01,414,2,0,0.004830917874396135,0.004830917874396135,0.0
Linear[1],0.1,414,33,0,0.07971014492753623,0.07971014492753623,0.0
Linear[1],0.3,414,80,2,0.1932367149758454,0.19806763285024154,0.4438837766647339
Linear[1],1.0,414,258,6,0.6231884057971014,0.6376811594202898,0.47010956207911175
